,SPY,QQQ,IWM,MDY,XLK,XLV,XLE,XLF,XLI,XLU,XLP,XLY,XLC,XLRE,MTUM,QUAL,USMV,EFA,EEM,TLT,IEF,SHY,HYG,LQD,TIP,GLD,SLV,USO
2019-06-24,0.0,0.033489,0.0,0.0,0.088208,0.0,0.0,0.0,0.032548,0.0,0.02284,0.089054,0.0,0.024491,0.109464,0.094045,0.152312,0.0,0.0,0.0,0.025658,0.074057,0.025333,0.124476,0.0,0.0,0.0,0.0
2019-07-24,0.0,0.033489,0.0,0.0,0.088208,0.0,0.0,0.0,0.032548,0.0,0.096274,0.028588,0.0,0.070073,0.109464,0.030047,0.152312,0.0,0.0,0.0,0.025658,0.094648,0.025333,0.100268,0.025843,0.029242,0.0,0.0
2019-08-22,0.0,0.017599,0.0,0.0,0.052825,0.0,0.0,0.0,0.012568,0.0,0.049401,0.028588,0.0,0.085797,0.050442,0.014528,0.113287,0.0,0.0,0.092972,0.063293,0.094648,0.025333,0.151738,0.025843,0.080192,0.019556,0.0
2019-09-23,0.0,0.017465,0.0,0.0,0.018241,0.0,0.0,0.025748,0.012472,0.111811,0.025082,0.01003,0.0,0.085145,0.014269,0.014418,0.112426,0.0,0.0,0.11464,0.035112,0.047223,0.02514,0.103563,0.025647,0.112586,0.088984,0.0
2019-10-22,0.0,0.0157,0.0,0.0,0.016398,0.0,0.0,0.004369,0.011212,0.124006,0.065686,0.009017,0.0,0.134657,0.012827,0.012961,0.101067,0.0,0.0,0.103057,0.031564,0.082284,0.0226,0.093099,0.023056,0.101211,0.03523,0.0
2019-11-20,0.039376,0.053873,0.0,0.0,0.069762,0.023634,0.0,0.034909,0.037643,0.080336,0.045524,0.009017,0.0,0.087147,0.012827,0.047707,0.071759,0.0,0.0,0.067788,0.022681,0.082284,0.0226,0.070305,0.023056,0.069269,0.021032,0.0
2019-12-20,0.076081,0.087542,0.018255,0.0,0.104069,0.023634,0.0,0.069098,0.025225,0.04828,0.045524,0.009017,0.011008,0.039961,0.012827,0.085153,0.049637,0.0,0.0,0.031084,0.0104,0.054979,0.056277,0.04853,0.023056,0.031763,0.009644,0.0
2020-01-23,0.098731,0.112607,0.017053,0.0,0.127376,0.068487,0.0,0.026642,0.023563,0.02714,0.027559,0.008423,0.066602,0.012364,0.067524,0.112612,0.046368,0.0,0.0,0.00713,0.009715,0.026532,0.029261,0.024095,0.021537,0.029671,0.009009,0.0
2020-02-24,0.091791,0.104692,0.015854,0.0,0.118422,0.01898,0.0,0.024769,0.021907,0.114973,0.025622,0.007831,0.034867,0.011494,0.0938,0.027542,0.043108,0.0,0.0,0.006629,0.009032,0.068227,0.027205,0.022401,0.020023,0.082455,0.008376,0.0
2020-03-24,0.05799,0.074912,0.015485,0.0,0.076331,0.018539,0.0,0.015614,0.012344,0.072638,0.025025,0.007649,0.023466,0.011227,0.059539,0.018283,0.027722,0.0,0.0,0.068085,0.076052,0.133645,0.015328,0.021879,0.060139,0.099927,0.008181,0.0
2020-04-23,0.01432,0.068302,0.014119,0.0,0.028273,0.016903,0.0,0.014236,0.011254,0.018056,0.022817,0.006974,0.021396,0.010236,0.015746,0.01667,0.008045,0.0,0.0,0.12408,0.125222,0.173044,0.013976,0.062962,0.083901,0.122011,0.007459,0.0
2020-05-22,0.012887,0.088103,0.012706,0.0,0.07664,0.015212,0.0,0.012812,0.010129,0.01625,0.020534,0.006276,0.019255,0.009212,0.014171,0.015002,0.00724,0.0,0.0,0.111668,0.132787,0.176321,0.012578,0.018894,0.075508,0.129102,0.006713,0.0
2020-06-23,0.012139,0.128887,0.011969,0.0,0.113593,0.014329,0.0,0.012069,0.009541,0.015307,0.019343,0.032084,0.018138,0.008678,0.033942,0.014131,0.00682,0.0,0.0,0.080609,0.125079,0.166087,0.011848,0.017797,0.035295,0.082326,0.029991,0.0
2020-07-23,0.011536,0.122479,0.011374,0.0,0.107946,0.013617,0.0,0.011469,0.009066,0.014546,0.018381,0.030489,0.017236,0.008246,0.032254,0.013429,0.006481,0.0,0.021094,0.037887,0.087995,0.157829,0.011259,0.016912,0.03354,0.078232,0.126704,0.0
2020-08-21,0.011298,0.11996,0.01114,0.0,0.105725,0.013336,0.0,0.011233,0.00888,0.014247,0.018003,0.083611,0.016881,0.008076,0.072375,0.013153,0.006348,0.0,0.02066,0.016945,0.032385,0.154582,0.011027,0.016564,0.03285,0.076623,0.124098,0.0
2020-09-22,0.010904,0.115772,0.010751,0.0,0.102034,0.012871,0.0,0.01084,0.068322,0.013749,0.017374,0.114457,0.016292,0.007795,0.069849,0.012693,0.006126,0.0,0.019939,0.016354,0.031255,0.149186,0.010642,0.015986,0.031703,0.015339,0.119766,0.0
2020-10-21,0.010688,0.113478,0.081743,0.0,0.100013,0.012616,0.0,0.010626,0.094403,0.013477,0.01703,0.112189,0.015969,0.00764,0.068465,0.012442,0.006005,0.0,0.019544,0.01603,0.009832,0.108004,0.010431,0.015669,0.031075,0.015035,0.097596,0.0
2020-11-19,0.010222,0.04319,0.094991,0.06241,0.037738,0.012066,0.0,0.026061,0.110743,0.01289,0.016288,0.1073,0.015273,0.007307,0.026635,0.0119,0.005743,0.060725,0.103289,0.015331,0.009403,0.103297,0.009977,0.014986,0.029721,0.01438,0.038134,0.0
2020-12-21,0.009827,0.086915,0.125484,0.092335,0.036279,0.0116,0.0,0.025054,0.046112,0.012391,0.015658,0.034562,0.014683,0.007025,0.025605,0.01144,0.005521,0.021314,0.099296,0.014739,0.00904,0.136566,0.009591,0.014407,0.028572,0.013824,0.092162,0.0
2021-01-22,0.009769,0.108402,0.150722,0.113554,0.036065,0.011531,0.0,0.024906,0.0205,0.012318,0.015566,0.034359,0.014596,0.006983,0.025454,0.011372,0.005488,0.021188,0.135345,0.014652,0.008987,0.135762,0.009535,0.014322,0.028404,0.013742,0.016474,0.0
2021-02-23,0.008762,0.028933,0.135183,0.101847,0.032347,0.010342,0.028576,0.089633,0.018387,0.011048,0.013961,0.030816,0.075687,0.006263,0.02283,0.0102,0.004923,0.019004,0.093638,0.013141,0.00806,0.096749,0.008552,0.012846,0.025475,0.012325,0.014776,0.065696
2021-03-24,0.008304,0.02742,0.128113,0.116611,0.030655,0.009802,0.098211,0.113416,0.093864,0.010471,0.013231,0.029205,0.10464,0.005936,0.021636,0.009666,0.004665,0.01801,0.024831,0.012454,0.007639,0.012728,0.028319,0.012174,0.0,0.011681,0.014003,0.032315
2021-04-23,0.007833,0.025865,0.096045,0.109999,0.028917,0.009246,0.092642,0.106985,0.110254,0.009877,0.012481,0.027549,0.031395,0.082034,0.020409,0.009118,0.004401,0.016989,0.023423,0.011748,0.007205,0.012006,0.026713,0.011484,0.0,0.011019,0.013209,0.081151
2021-05-24,0.007719,0.025491,0.024107,0.108407,0.028498,0.009112,0.091301,0.163996,0.108658,0.009734,0.0123,0.02715,0.077522,0.080846,0.0,0.008986,0.004337,0.016743,0.023084,0.011578,0.007101,0.011832,0.026327,0.011317,0.0,0.010859,0.013018,0.079976
2021-06-23,0.02793,0.024814,0.023467,0.030665,0.027741,0.00887,0.088876,0.110296,0.03463,0.009475,0.011973,0.026429,0.095275,0.121949,0.0,0.095368,0.004222,0.016298,0.022471,0.01127,0.006912,0.011518,0.025627,0.011017,0.0,0.010571,0.012672,0.129662
2021-07-23,0.02544,0.022602,0.021375,0.027931,0.09105,0.008079,0.02659,0.100463,0.031543,0.008631,0.010906,0.024073,0.10787,0.132173,0.0,0.123766,0.02296,0.014845,0.0,0.010266,0.006296,0.010491,0.023343,0.010035,0.0,0.009628,0.011542,0.118103
2021-08-23,0.024379,0.07753,0.020483,0.026766,0.087252,0.085091,0.005403,0.042966,0.030227,0.062446,0.010451,0.023069,0.047217,0.126659,0.0,0.118602,0.095035,0.014226,0.0,0.009837,0.006034,0.010053,0.022369,0.009616,0.0,0.009227,0.011061,0.024
2021-09-22,0.024212,0.131589,0.020343,0.026584,0.119923,0.118487,0.005366,0.022248,0.006914,0.011896,0.01038,0.022911,0.024415,0.125795,0.0,0.117794,0.032643,0.014129,0.0,0.00977,0.005992,0.009985,0.022216,0.00955,0.0,0.009164,0.010985,0.086708
2021-10-21,0.065038,0.062576,0.019354,0.025291,0.091109,0.053696,0.086744,0.084567,0.006578,0.011317,0.009875,0.021797,0.023228,0.103627,0.019122,0.059211,0.031056,0.013442,0.0,0.009295,0.005701,0.009499,0.021136,0.009086,0.014928,0.008718,0.010451,0.123556
2021-11-19,0.113916,0.122475,0.018798,0.024564,0.128574,0.021864,0.043003,0.029142,0.006389,0.010992,0.009591,0.125828,0.000921,0.040394,0.018572,0.035492,0.030163,0.013056,0.0,0.009028,0.005537,0.009226,0.020528,0.008825,0.014499,0.008468,0.010151,0.120004
2021-12-21,0.06147,0.061988,0.017275,0.022574,0.118155,0.078165,0.025481,0.026781,0.005871,0.065256,0.066812,0.091506,0.000846,0.091322,0.017067,0.032616,0.07255,0.011998,0.0,0.008296,0.005088,0.008479,0.018865,0.00811,0.013324,0.007781,0.009328,0.052996
2022-01-21,0.035656,0.032135,0.016347,0.021361,0.061018,0.044892,0.102756,0.060678,0.005556,0.087564,0.105698,0.04653,0.000801,0.086416,0.01615,0.018813,0.039952,0.011353,0.0,0.007851,0.004815,0.008023,0.017852,0.007674,0.012608,0.04171,0.008827,0.096963
2022-02-22,0.016473,0.009874,0.014959,0.019548,0.021662,0.019154,0.175994,0.08149,0.005084,0.080133,0.134929,0.017155,0.000733,0.029951,0.01478,0.017217,0.016565,0.01039,0.0,0.007184,0.004406,0.007342,0.016337,0.007023,0.011538,0.097284,0.008078,0.154716
2022-03-23,0.014819,0.008883,0.013458,0.017586,0.019488,0.017232,0.188661,0.07331,0.004574,0.106788,0.094355,0.015433,0.000659,0.026944,0.013296,0.015489,0.014902,0.009347,0.0,0.006463,0.003964,0.006605,0.014697,0.006318,0.01038,0.087519,0.069645,0.139185
2022-04-22,0.012957,0.007766,0.011767,0.015376,0.017039,0.084388,0.164953,0.011189,0.003999,0.118719,0.126158,0.013494,0.000576,0.086894,0.011625,0.013542,0.013029,0.008172,0.0,0.005651,0.003466,0.005775,0.01285,0.005524,0.009075,0.098241,0.016079,0.121694
2022-05-23,0.011062,0.006631,0.010046,0.013127,0.014547,0.109024,0.208122,0.009553,0.003414,0.155115,0.078098,0.01152,0.000492,0.014254,0.009925,0.011562,0.011124,0.006977,0.0,0.004825,0.002959,0.004931,0.010971,0.004716,0.007748,0.083874,0.013728,0.181657
2022-06-23,0.010373,0.006217,0.00942,0.012309,0.01364,0.025743,0.215257,0.008958,0.003202,0.111645,0.09614,0.010802,0.000461,0.013365,0.009306,0.010841,0.010431,0.006542,0.0,0.004524,0.002775,0.004623,0.010287,0.004422,0.007265,0.122703,0.012872,0.255875
2022-07-25,0.010248,0.006143,0.009306,0.012161,0.013476,0.113493,0.212664,0.00885,0.003163,0.145288,0.030562,0.010672,0.000456,0.013204,0.009194,0.010711,0.010305,0.006463,0.0,0.004469,0.057527,0.026032,0.010163,0.004369,0.027521,0.0,0.012717,0.230841
2022-08-23,0.010248,0.006143,0.025266,0.012161,0.013476,0.061941,0.186692,0.00885,0.061992,0.17123,0.094363,0.025712,0.000456,0.013204,0.009194,0.010711,0.076658,0.006463,0.0,0.004469,0.017823,0.008065,0.010163,0.004369,0.027521,0.0,0.012717,0.111961
2022-09-22,0.009683,0.005804,0.023873,0.068483,0.012733,0.02358,0.214345,0.008362,0.025441,0.205518,0.11335,0.075848,0.000431,0.012476,0.008687,0.01012,0.030364,0.006107,0.0,0.004223,0.016841,0.007621,0.062825,0.004128,0.003949,0.0,0.012016,0.033194
2022-10-21,0.009636,0.005776,0.023759,0.03682,0.012672,0.08279,0.242879,0.058032,0.069028,0.088,0.053451,0.036299,0.000429,0.012417,0.07754,0.010072,0.030218,0.006078,0.0,0.004203,0.01676,0.007584,0.062525,0.004108,0.003931,0.0,0.011958,0.033036
2022-11-21,0.009344,0.005601,0.023037,0.080206,0.012287,0.123405,0.208679,0.108588,0.137132,0.020529,0.031111,0.0,0.000416,0.012039,0.114244,0.009766,0.0293,0.005893,0.0,0.004075,0.016251,0.007354,0.014596,0.003983,0.003811,0.0,0.011595,0.006759
2022-12-21,0.008329,0.004993,0.020536,0.020174,0.010953,0.110007,0.186022,0.096798,0.122243,0.0183,0.027733,0.0,0.000371,0.010732,0.079808,0.008705,0.026119,0.074986,0.0,0.003633,0.014486,0.006555,0.013011,0.003551,0.003397,0.0,0.122533,0.006025
2023-01-24,0.00744,0.004459,0.018343,0.018019,0.009783,0.022734,0.184439,0.086461,0.109188,0.016345,0.00321,0.0,0.000331,0.009586,0.008835,0.007776,0.02333,0.113754,0.074741,0.003245,0.012939,0.005855,0.011622,0.003172,0.003035,0.126529,0.109448,0.005382
2023-02-23,0.007122,0.004269,0.01756,0.124523,0.009366,0.021764,0.047887,0.115291,0.083886,0.015648,0.003073,0.0,0.026132,0.009177,0.008458,0.007444,0.022334,0.178395,0.028442,0.003106,0.012387,0.005605,0.011126,0.003036,0.002905,0.121131,0.104778,0.005152
2023-03-24,0.006936,0.055691,0.017101,0.055903,0.07521,0.008303,0.023747,0.042211,0.046003,0.015239,0.002993,0.0,0.066536,0.008937,0.008237,0.054354,0.02175,0.150244,0.027698,0.003025,0.012063,0.0225,0.010835,0.002957,0.002829,0.151646,0.102037,0.005017
2023-04-25,0.006666,0.07519,0.016435,0.010741,0.100396,0.007979,0.022822,0.0,0.044212,0.014645,0.029885,0.0,0.034725,0.008589,0.007916,0.095143,0.020903,0.189066,0.005409,0.002907,0.011593,0.021624,0.010413,0.022115,0.002719,0.109728,0.123357,0.004822
2023-05-24,0.006371,0.148462,0.015708,0.010266,0.152736,0.007626,0.0,0.0,0.011066,0.013998,0.028563,0.0,0.133309,0.008209,0.007566,0.090935,0.019979,0.119518,0.00517,0.002779,0.011081,0.020667,0.009952,0.021137,0.002599,0.104875,0.042818,0.004609
2023-06-26,0.102093,0.159336,0.014688,0.0096,0.142821,0.007131,0.0,0.0,0.010348,0.013089,0.026709,0.112148,0.124655,0.007676,0.007075,0.113794,0.018682,0.085116,0.004834,0.002598,0.010361,0.0,0.009306,0.000842,0.00243,0.010358,0.0,0.004309
2023-07-26,0.125278,0.156582,0.014434,0.009434,0.140352,0.007008,0.0,0.0,0.084888,0.012863,0.006393,0.11021,0.122501,0.007544,0.006953,0.111827,0.018359,0.021115,0.004751,0.002553,0.010182,0.0,0.009145,0.000827,0.002388,0.010179,0.0,0.004235
2023-08-24,0.120897,0.151107,0.01393,0.009104,0.135445,0.006763,0.0,0.0,0.08192,0.012413,0.00617,0.085553,0.148262,0.00728,0.006709,0.133643,0.017717,0.020376,0.004585,0.002464,0.009826,0.0,0.008826,0.000798,0.002304,0.009823,0.0,0.004087
2023-09-25,0.055684,0.122536,0.013592,0.008883,0.061247,0.006599,0.084173,0.059756,0.038869,0.012112,0.00602,0.050824,0.144671,0.007103,0.006547,0.130406,0.017288,0.019883,0.004474,0.002404,0.009588,0.0,0.008612,0.000779,0.002249,0.009585,0.0,0.116113
2023-10-24,0.020238,0.114661,0.012719,0.008312,0.121002,0.006175,0.078763,0.008174,0.011064,0.011334,0.005633,0.013798,0.162416,0.006647,0.006126,0.122026,0.016177,0.018605,0.004186,0.00225,0.008972,0.11221,0.008059,0.000729,0.002104,0.008969,0.0,0.108651
2023-11-22,0.019364,0.141773,0.01217,0.007953,0.160642,0.005908,0.00898,0.069504,0.010586,0.010844,0.00539,0.074839,0.155401,0.00636,0.066409,0.116755,0.015478,0.017802,0.004005,0.002153,0.008585,0.043093,0.00771,0.000697,0.002013,0.008582,0.0,0.017003
2023-12-22,0.019364,0.141773,0.01217,0.007953,0.160642,0.005908,0.00898,0.098924,0.010586,0.010844,0.00539,0.033272,0.133474,0.028918,0.027549,0.116755,0.015478,0.017802,0.004005,0.002153,0.008585,0.043093,0.030608,0.000697,0.002013,0.008582,0.0,0.017003
2024-01-25,0.091158,0.130744,0.011223,0.007335,0.148145,0.005449,0.008282,0.091229,0.009763,0.010001,0.004971,0.009803,0.123091,0.001118,0.101667,0.107673,0.014274,0.016417,0.003694,0.001985,0.007917,0.039741,0.028227,0.000643,0.001857,0.007914,0.0,0.01568
2024-02-26,0.037155,0.125119,0.01074,0.007019,0.111477,0.005214,0.007925,0.108282,0.084856,0.009571,0.004757,0.009382,0.117796,0.00107,0.097293,0.129947,0.01366,0.015711,0.003535,0.0019,0.007576,0.038032,0.027013,0.000615,0.001777,0.007574,0.0,0.015006
2024-03-26,0.035299,0.097631,0.010203,0.006668,0.105907,0.004954,0.007529,0.139314,0.115373,0.009092,0.004519,0.008913,0.11191,0.001016,0.092432,0.123455,0.012977,0.014926,0.003358,0.001805,0.007198,0.036131,0.025663,0.000585,0.001688,0.007196,0.0,0.014256
2024-04-25,0.035299,0.043913,0.010203,0.006668,0.040857,0.004954,0.068081,0.158704,0.136865,0.02643,0.004519,0.008913,0.052185,0.001016,0.092432,0.054184,0.012977,0.014926,0.003358,0.001805,0.007198,0.005453,0.025663,0.000585,0.001688,0.084428,0.025552,0.014256
2024-05-24,0.035299,0.043913,0.010203,0.006668,0.040857,0.004954,0.017732,0.12975,0.136865,0.02643,0.004519,0.008913,0.03089,0.001016,0.092432,0.11894,0.012977,0.014926,0.003358,0.001805,0.007198,0.027791,0.025663,0.000585,0.001688,0.044218,0.076875,0.014256
2024-06-26,0.073746,0.104247,0.010203,0.006668,0.087227,0.004954,0.017732,0.055182,0.047932,0.02643,0.004519,0.008913,0.103355,0.001016,0.122494,0.148513,0.012977,0.014926,0.003358,0.001805,0.007198,0.027791,0.025663,0.000585,0.001688,0.022473,0.039373,0.014256
2024-07-26,0.104669,0.06285,0.063834,0.006541,0.032313,0.004859,0.017393,0.054126,0.029945,0.068509,0.004433,0.008742,0.051045,0.017734,0.062198,0.130365,0.026113,0.01464,0.003294,0.00177,0.00706,0.089788,0.060904,0.000573,0.001656,0.022043,0.03862,0.013983
2024-08-26,0.059674,0.033325,0.02734,0.006406,0.013839,0.004759,0.017034,0.05301,0.017302,0.097832,0.046378,0.008562,0.034072,0.05974,0.033249,0.072804,0.079251,0.014338,0.003226,0.001734,0.006914,0.106969,0.08301,0.000562,0.001622,0.065529,0.037824,0.013695
2024-09-25,0.016148,0.004753,0.0,0.006309,0.01363,0.004687,0.016776,0.052208,0.01704,0.141127,0.02152,0.008432,0.012631,0.116842,0.006636,0.01673,0.100907,0.014121,0.003177,0.001708,0.00681,0.10535,0.081754,0.000553,0.022881,0.120557,0.073225,0.013488
2024-10-24,0.015745,0.004634,0.0,0.006151,0.013289,0.00457,0.016357,0.103998,0.016615,0.137601,0.020982,0.008222,0.08078,0.113923,0.070403,0.016312,0.039802,0.013768,0.003098,0.001665,0.00664,0.03711,0.079711,0.000539,0.022309,0.117545,0.035078,0.013151
2024-11-22,0.015745,0.004634,0.02908,0.006151,0.013289,0.00457,0.016357,0.103998,0.080537,0.061846,0.020982,0.091774,0.126047,0.042787,0.095583,0.016312,0.039802,0.013768,0.003098,0.001665,0.00664,0.03711,0.079711,0.000539,0.022309,0.042832,0.003684,0.013151
2024-12-24,0.095683,0.079562,0.027361,0.005788,0.03043,0.0043,0.015391,0.119997,0.031272,0.027725,0.019742,0.134077,0.142324,0.014874,0.043513,0.015348,0.03745,0.012955,0.002915,0.001567,0.006247,0.034917,0.036822,0.000507,0.003092,0.040301,0.003467,0.012373
2025-01-28,0.086791,0.031261,0.001169,0.00525,0.0,0.0039,0.01396,0.108846,0.076176,0.025149,0.017907,0.121617,0.147532,0.013492,0.076318,0.013922,0.03397,0.011751,0.002644,0.001421,0.005667,0.11367,0.0334,0.00046,0.002805,0.036556,0.003144,0.011223
2025-02-27,0.026159,0.031261,0.001169,0.00525,0.0,0.0039,0.01396,0.108846,0.015431,0.025149,0.017907,0.048363,0.147532,0.013492,0.076318,0.013922,0.03397,0.011751,0.030856,0.001421,0.005667,0.145793,0.0334,0.00046,0.002805,0.162307,0.003144,0.011223
2025-03-28,0.001371,0.000849,0.001112,0.004995,0.0,0.003711,0.069169,0.103563,0.014682,0.023928,0.017038,0.003337,0.109926,0.012837,0.008071,0.013246,0.08341,0.01118,0.009904,0.001352,0.005392,0.138717,0.031779,0.000438,0.002669,0.20372,0.112925,0.010679
2025-04-29,0.001356,0.000839,0.0011,0.004939,0.0,0.003669,0.022945,0.049033,0.014517,0.023659,0.016847,0.003299,0.053618,0.012693,0.007981,0.013097,0.041355,0.061639,0.009793,0.001337,0.075424,0.196114,0.031422,0.000433,0.075815,0.20143,0.065088,0.010559
2025-05-29,0.001343,0.028686,0.00109,0.004893,0.0,0.003635,0.0,0.015428,0.014382,0.023438,0.016689,0.003268,0.025227,0.012574,0.085273,0.012975,0.015024,0.126553,0.087373,0.001324,0.021802,0.163715,0.031128,0.000429,0.029262,0.199548,0.06448,0.01046
2025-06-30,0.001311,0.027991,0.001063,0.004774,0.025578,0.003547,0.0,0.015054,0.075649,0.02287,0.016285,0.003189,0.024615,0.012269,0.083205,0.01266,0.01466,0.123484,0.085255,0.001292,0.021273,0.159745,0.030374,0.000419,0.028552,0.160808,0.033872,0.010206
2025-07-30,0.001251,0.081057,0.001015,0.004557,0.091591,0.003385,0.0,0.014369,0.101759,0.021829,0.015544,0.003044,0.023495,0.011711,0.099212,0.012084,0.013993,0.045344,0.111455,0.001233,0.020306,0.107729,0.028992,0.000399,0.027253,0.054884,0.092765,0.009742
2025-08-28,0.089091,0.099566,0.027395,0.004297,0.105365,0.003192,0.0,0.013549,0.036797,0.020584,0.014657,0.00287,0.091302,0.011043,0.038135,0.011395,0.013195,0.042756,0.105095,0.001163,0.019147,0.047583,0.027338,0.000377,0.025698,0.051752,0.087471,0.009186
2025-09-29,0.037462,0.11528,0.026018,0.004081,0.100069,0.003032,0.0,0.012868,0.034948,0.019549,0.01392,0.033135,0.117275,0.010488,0.036218,0.010822,0.012531,0.0192,0.039314,0.001105,0.018184,0.045191,0.025963,0.000358,0.024406,0.115969,0.113888,0.008724
2025-10-28,0.035234,0.108425,0.024471,0.003838,0.128032,0.002851,0.0,0.012103,0.03287,0.018386,0.013092,0.031165,0.110302,0.009864,0.034064,0.010179,0.011786,0.018058,0.100687,0.001039,0.017103,0.076754,0.024419,0.020481,0.022955,0.043497,0.080138,0.008206
2025-11-26,0.034756,0.057323,0.024139,0.003786,0.061592,0.090007,0.0,0.011939,0.013912,0.018137,0.012915,0.006095,0.045896,0.00973,0.014181,0.01004,0.011626,0.017813,0.099321,0.001025,0.016871,0.135225,0.024088,0.020203,0.022644,0.101193,0.127449,0.008094
2025-12-29,0.032517,0.031889,0.022584,0.003542,0.032518,0.084208,0.0,0.01117,0.013016,0.016969,0.012083,0.005702,0.017983,0.009103,0.013267,0.009394,0.010877,0.016665,0.092923,0.000959,0.015784,0.126514,0.022536,0.018901,0.021185,0.141048,0.209088,0.007573
2026-01-29,0.028764,0.0095,0.019977,0.003134,0.008509,0.030989,0.024416,0.009881,0.011514,0.01501,0.010688,0.005044,0.015908,0.008053,0.011736,0.00831,0.009622,0.081346,0.113089,0.000848,0.013963,0.111914,0.019936,0.01672,0.01874,0.175312,0.210379,0.006699
