Date,equity
2023-03-02,604315.6612392324
2023-03-03,604315.6612392324
2023-03-06,604315.6612392324
2023-03-07,604315.6612392324
2023-03-08,604315.6612392324
2023-03-09,604315.6612392324
2023-03-10,604315.6612392324
2023-03-13,604315.6612392324
2023-03-14,604315.6612392324
2023-03-15,604315.6612392324
2023-03-16,604315.6612392324
2023-03-17,604315.6612392324
2023-03-20,604315.6612392324
2023-03-21,604315.6612392324
2023-03-22,604315.6612392324
2023-03-23,604315.6612392324
2023-03-24,604315.6612392324
2023-03-27,604315.6612392324
2023-03-28,604315.6612392324
2023-03-29,604315.6612392324
2023-03-30,604315.6612392324
2023-03-31,604315.6612392324
2023-04-03,604315.6612392324
2023-04-04,604315.6612392324
2023-04-05,604315.6612392324
2023-04-06,604315.6612392324
2023-04-10,604315.6612392324
2023-04-11,604315.6612392324
2023-04-12,604315.6612392324
2023-04-13,604315.6612392324
2023-04-14,604315.6612392324
2023-04-17,604315.6612392324
2023-04-18,604315.6612392324
2023-04-19,604315.6612392324
2023-04-20,604315.6612392324
2023-04-21,604315.6612392324
2023-04-24,604315.6612392324
2023-04-25,604315.6612392324
2023-04-26,604315.6612392324
2023-04-27,604315.6612392324
2023-04-28,604315.6612392324
2023-05-01,604315.6612392324
2023-05-02,604315.6612392324
2023-05-03,604315.6612392324
2023-05-04,604315.6612392324
2023-05-05,604315.6612392324
2023-05-08,604315.6612392324
2023-05-09,604315.6612392324
2023-05-10,604315.6612392324
2023-05-11,604315.6612392324
2023-05-12,604315.6612392324
2023-05-15,604315.6612392324
2023-05-16,604315.6612392324
2023-05-17,604315.6612392324
2023-05-18,604315.6612392324
2023-05-19,604315.6612392324
2023-05-22,604315.6612392324
2023-05-23,604315.6612392324
2023-05-24,604315.6612392324
2023-05-25,604315.6612392324
2023-05-26,604315.6612392324
2023-05-30,604315.6612392324
2023-05-31,604315.6612392324
2023-06-01,604315.6612392324
2023-06-02,604315.6612392324
2023-06-05,604315.6612392324
2023-06-06,604315.6612392324
2023-06-07,604315.6612392324
2023-06-08,604315.6612392324
2023-06-09,604315.6612392324
2023-06-12,604315.6612392324
2023-06-13,604315.6612392324
2023-06-14,604315.6612392324
2023-06-15,604315.6612392324
2023-06-16,604315.6612392324
2023-06-20,604315.6612392324
2023-06-21,604315.6612392324
2023-06-22,604315.6612392324
2023-06-23,604315.6612392324
2023-06-26,604315.6612392324
2023-06-27,604315.6612392324
2023-06-28,604315.6612392324
2023-06-29,604315.6612392324
2023-06-30,604315.6612392324
2023-07-03,604315.6612392324
2023-07-05,604315.6612392324
2023-07-06,604315.6612392324
2023-07-07,604315.6612392324
2023-07-10,604315.6612392324
2023-07-11,604315.6612392324
2023-07-12,604315.6612392324
2023-07-13,604315.6612392324
2023-07-14,604315.6612392324
2023-07-17,604315.6612392324
2023-07-18,604315.6612392324
2023-07-19,604315.6612392324
2023-07-20,604315.6612392324
2023-07-21,604315.6612392324
2023-07-24,604315.6612392324
2023-07-25,604315.6612392324
2023-07-26,604315.6612392324
2023-07-27,604315.6612392324
2023-07-28,604315.6612392324
2023-07-31,604315.6612392324
2023-08-01,604315.6612392324
2023-08-02,604315.6612392324
2023-08-03,604315.6612392324
2023-08-04,604315.6612392324
2023-08-07,604315.6612392324
2023-08-08,604315.6612392324
2023-08-09,604315.6612392324
2023-08-10,604315.6612392324
2023-08-11,604315.6612392324
2023-08-14,604315.6612392324
2023-08-15,604315.6612392324
2023-08-16,604315.6612392324
2023-08-17,604315.6612392324
2023-08-18,604315.6612392324
2023-08-21,604315.6612392324
2023-08-22,604315.6612392324
2023-08-23,604315.6612392324
2023-08-24,604315.6612392324
2023-08-25,604315.6612392324
2023-08-28,604315.6612392324
2023-08-29,604315.6612392324
2023-08-30,604315.6612392324
2023-08-31,604315.6612392324
2023-09-01,604315.6612392324
2023-09-05,604315.6612392324
2023-09-06,604315.6612392324
2023-09-07,604315.6612392324
2023-09-08,604315.6612392324
2023-09-11,604315.6612392324
2023-09-12,604315.6612392324
2023-09-13,604315.6612392324
2023-09-14,604315.6612392324
2023-09-15,604315.6612392324
2023-09-18,604315.6612392324
2023-09-19,604315.6612392324
2023-09-20,604315.6612392324
2023-09-21,604315.6612392324
2023-09-22,604315.6612392324
2023-09-25,604315.6612392324
2023-09-26,604315.6612392324
2023-09-27,604315.6612392324
2023-09-28,604315.6612392324
2023-09-29,604315.6612392324
2023-10-02,604315.6612392324
2023-10-03,604315.6612392324
2023-10-04,604315.6612392324
2023-10-05,604315.6612392324
2023-10-06,604315.6612392324
2023-10-09,604315.6612392324
2023-10-10,604315.6612392324
2023-10-11,604315.6612392324
2023-10-12,604315.6612392324
2023-10-13,604315.6612392324
2023-10-16,604315.6612392324
2023-10-17,604315.6612392324
2023-10-18,604315.6612392324
2023-10-19,604315.6612392324
2023-10-20,604315.6612392324
2023-10-23,604315.6612392324
2023-10-24,604315.6612392324
2023-10-25,604315.6612392324
2023-10-26,604315.6612392324
2023-10-27,604315.6612392324
2023-10-30,604315.6612392324
2023-10-31,604315.6612392324
2023-11-01,604315.6612392324
2023-11-02,604315.6612392324
2023-11-03,604315.6612392324
2023-11-06,604315.6612392324
2023-11-07,604315.6612392324
2023-11-08,604315.6612392324
2023-11-09,604315.6612392324
2023-11-10,604315.6612392324
2023-11-13,604315.6612392324
2023-11-14,604315.6612392324
2023-11-15,604315.6612392324
2023-11-16,604315.6612392324
2023-11-17,604315.6612392324
2023-11-20,604315.6612392324
2023-11-21,604315.6612392324
2023-11-22,604315.6612392324
2023-11-24,604315.6612392324
2023-11-27,604315.6612392324
2023-11-28,604315.6612392324
2023-11-29,604315.6612392324
2023-11-30,604315.6612392324
2023-12-01,604315.6612392324
2023-12-04,604315.6612392324
2023-12-05,604315.6612392324
2023-12-06,604315.6612392324
2023-12-07,604315.6612392324
2023-12-08,604315.6612392324
2023-12-11,604315.6612392324
2023-12-12,604315.6612392324
2023-12-13,604315.6612392324
2023-12-14,604315.6612392324
2023-12-15,604315.6612392324
2023-12-18,604315.6612392324
2023-12-19,604315.6612392324
2023-12-20,604315.6612392324
2023-12-21,604315.6612392324
2023-12-22,604315.6612392324
2023-12-26,604315.6612392324
2023-12-27,604315.6612392324
2023-12-28,604315.6612392324
2023-12-29,604315.6612392324
2024-01-02,604315.6612392324
2024-01-03,604315.6612392324
2024-01-04,604315.6612392324
2024-01-05,604315.6612392324
2024-01-08,604315.6612392324
2024-01-09,604315.6612392324
2024-01-10,604315.6612392324
2024-01-11,604315.6612392324
2024-01-12,604315.6612392324
2024-01-16,604315.6612392324
2024-01-17,604315.6612392324
2024-01-18,604315.6612392324
2024-01-19,604315.6612392324
2024-01-22,604315.6612392324
2024-01-23,604315.6612392324
2024-01-24,604315.6612392324
2024-01-25,604315.6612392324
2024-01-26,604315.6612392324
2024-01-29,604315.6612392324
2024-01-30,604315.6612392324
2024-01-31,604315.6612392324
2024-02-01,604315.6612392324
2024-02-02,604315.6612392324
2024-02-05,604315.6612392324
2024-02-06,604315.6612392324
2024-02-07,604315.6612392324
2024-02-08,604315.6612392324
2024-02-09,604315.6612392324
2024-02-12,604315.6612392324
2024-02-13,604315.6612392324
2024-02-14,604315.6612392324
2024-02-15,604315.6612392324
2024-02-16,604315.6612392324
2024-02-20,604315.6612392324
2024-02-21,604315.6612392324
2024-02-22,604315.6612392324
2024-02-23,604315.6612392324
2024-02-26,604315.6612392324
2024-02-27,604315.6612392324
2024-02-28,604315.6612392324
2024-02-29,604315.6612392324
2024-03-01,604315.6612392324
2024-03-04,604315.6612392324
2024-03-05,604315.6612392324
2024-03-06,604315.6612392324
2024-03-07,604315.6612392324
2024-03-08,604315.6612392324
2024-03-11,604315.6612392324
2024-03-12,604315.6612392324
2024-03-13,604315.6612392324
2024-03-14,604315.6612392324
2024-03-15,604315.6612392324
2024-03-18,604315.6612392324
2024-03-19,604315.6612392324
2024-03-20,604315.6612392324
2024-03-21,604315.6612392324
2024-03-22,604315.6612392324
2024-03-25,604315.6612392324
2024-03-26,604315.6612392324
2024-03-27,604315.6612392324
2024-03-28,604315.6612392324
2024-04-01,604315.6612392324
2024-04-02,604315.6612392324
2024-04-03,604315.6612392324
2024-04-04,604315.6612392324
2024-04-05,604315.6612392324
2024-04-08,604315.6612392324
2024-04-09,604315.6612392324
2024-04-10,604315.6612392324
2024-04-11,604315.6612392324
2024-04-12,604315.6612392324
2024-04-15,604315.6612392324
2024-04-16,604315.6612392324
2024-04-17,604315.6612392324
2024-04-18,604315.6612392324
2024-04-19,604315.6612392324
2024-04-22,604315.6612392324
2024-04-23,604315.6612392324
2024-04-24,604315.6612392324
2024-04-25,604315.6612392324
2024-04-26,604315.6612392324
2024-04-29,604315.6612392324
2024-04-30,604315.6612392324
2024-05-01,604315.6612392324
2024-05-02,604315.6612392324
2024-05-03,604315.6612392324
2024-05-06,604315.6612392324
2024-05-07,604315.6612392324
2024-05-08,604315.6612392324
2024-05-09,604315.6612392324
2024-05-10,604315.6612392324
2024-05-13,604315.6612392324
2024-05-14,604315.6612392324
2024-05-15,604315.6612392324
2024-05-16,604315.6612392324
2024-05-17,604315.6612392324
2024-05-20,604315.6612392324
2024-05-21,604315.6612392324
2024-05-22,604315.6612392324
2024-05-23,604315.6612392324
2024-05-24,604315.6612392324
2024-05-28,604315.6612392324
2024-05-29,604315.6612392324
2024-05-30,604315.6612392324
2024-05-31,604315.6612392324
2024-06-03,604315.6612392324
2024-06-04,604315.6612392324
2024-06-05,604315.6612392324
2024-06-06,604315.6612392324
2024-06-07,604315.6612392324
2024-06-10,604315.6612392324
2024-06-11,604315.6612392324
2024-06-12,604315.6612392324
2024-06-13,604315.6612392324
2024-06-14,604315.6612392324
2024-06-17,604315.6612392324
2024-06-18,604315.6612392324
2024-06-20,604315.6612392324
2024-06-21,604315.6612392324
2024-06-24,604315.6612392324
2024-06-25,604315.6612392324
2024-06-26,604315.6612392324
2024-06-27,604315.6612392324
2024-06-28,604315.6612392324
2024-07-01,604315.6612392324
2024-07-02,604315.6612392324
2024-07-03,604315.6612392324
2024-07-05,604315.6612392324
2024-07-08,604315.6612392324
2024-07-09,604315.6612392324
2024-07-10,604315.6612392324
2024-07-11,604315.6612392324
2024-07-12,604315.6612392324
2024-07-15,604315.6612392324
2024-07-16,604315.6612392324
2024-07-17,604315.6612392324
2024-07-18,604315.6612392324
2024-07-19,604315.6612392324
2024-07-22,604315.6612392324
2024-07-23,604315.6612392324
2024-07-24,604315.6612392324
2024-07-25,604315.6612392324
2024-07-26,604315.6612392324
2024-07-29,604315.6612392324
2024-07-30,604315.6612392324
2024-07-31,604315.6612392324
2024-08-01,604315.6612392324
2024-08-02,604315.6612392324
2024-08-05,604315.6612392324
2024-08-06,604315.6612392324
2024-08-07,604315.6612392324
2024-08-08,604315.6612392324
2024-08-09,604315.6612392324
2024-08-12,604315.6612392324
2024-08-13,604315.6612392324
2024-08-14,604315.6612392324
2024-08-15,604315.6612392324
2024-08-16,604315.6612392324
2024-08-19,604315.6612392324
2024-08-20,604315.6612392324
2024-08-21,604315.6612392324
2024-08-22,604315.6612392324
2024-08-23,604315.6612392324
2024-08-26,604315.6612392324
2024-08-27,604315.6612392324
2024-08-28,604315.6612392324
2024-08-29,604315.6612392324
2024-08-30,604315.6612392324
2024-09-03,604315.6612392324
2024-09-04,604315.6612392324
2024-09-05,604315.6612392324
2024-09-06,604315.6612392324
2024-09-09,604315.6612392324
2024-09-10,604315.6612392324
2024-09-11,604315.6612392324
2024-09-12,604315.6612392324
2024-09-13,604315.6612392324
2024-09-16,604315.6612392324
2024-09-17,604315.6612392324
2024-09-18,604315.6612392324
2024-09-19,604315.6612392324
2024-09-20,604315.6612392324
2024-09-23,604315.6612392324
2024-09-24,604315.6612392324
2024-09-25,604315.6612392324
2024-09-26,604315.6612392324
2024-09-27,604315.6612392324
2024-09-30,604315.6612392324
2024-10-01,604315.6612392324
2024-10-02,604315.6612392324
2024-10-03,604315.6612392324
2024-10-04,604315.6612392324
2024-10-07,604315.6612392324
2024-10-08,604315.6612392324
2024-10-09,604315.6612392324
2024-10-10,604315.6612392324
2024-10-11,604315.6612392324
2024-10-14,604315.6612392324
2024-10-15,604315.6612392324
2024-10-16,604315.6612392324
2024-10-17,604315.6612392324
2024-10-18,604315.6612392324
2024-10-21,604315.6612392324
2024-10-22,604315.6612392324
2024-10-23,604315.6612392324
2024-10-24,604315.6612392324
2024-10-25,604315.6612392324
2024-10-28,604315.6612392324
2024-10-29,604315.6612392324
2024-10-30,604315.6612392324
2024-10-31,604315.6612392324
2024-11-01,604315.6612392324
2024-11-04,604315.6612392324
2024-11-05,604315.6612392324
2024-11-06,604315.6612392324
2024-11-07,604315.6612392324
2024-11-08,604315.6612392324
2024-11-11,604315.6612392324
2024-11-12,604315.6612392324
2024-11-13,604315.6612392324
2024-11-14,604315.6612392324
2024-11-15,604315.6612392324
2024-11-18,604315.6612392324
2024-11-19,604315.6612392324
2024-11-20,604315.6612392324
2024-11-21,604315.6612392324
2024-11-22,604315.6612392324
2024-11-25,604315.6612392324
2024-11-26,604315.6612392324
2024-11-27,604315.6612392324
2024-11-29,604315.6612392324
2024-12-02,604315.6612392324
2024-12-03,604315.6612392324
2024-12-04,604315.6612392324
2024-12-05,604315.6612392324
2024-12-06,604315.6612392324
2024-12-09,604315.6612392324
2024-12-10,604315.6612392324
2024-12-11,604315.6612392324
2024-12-12,604315.6612392324
2024-12-13,604315.6612392324
2024-12-16,604315.6612392324
2024-12-17,604315.6612392324
2024-12-18,604315.6612392324
2024-12-19,604315.6612392324
2024-12-20,604315.6612392324
2024-12-23,604315.6612392324
2024-12-24,604315.6612392324
2024-12-26,604315.6612392324
2024-12-27,604315.6612392324
2024-12-30,604315.6612392324
2024-12-31,604315.6612392324
2025-01-02,604315.6612392324
2025-01-03,604315.6612392324
2025-01-06,604315.6612392324
2025-01-07,604315.6612392324
2025-01-08,604315.6612392324
2025-01-10,604315.6612392324
2025-01-13,604315.6612392324
2025-01-14,604315.6612392324
2025-01-15,604315.6612392324
2025-01-16,604315.6612392324
2025-01-17,604315.6612392324
2025-01-21,604315.6612392324
2025-01-22,604315.6612392324
2025-01-23,604315.6612392324
2025-01-24,604315.6612392324
2025-01-27,604315.6612392324
2025-01-28,604315.6612392324
2025-01-29,604315.6612392324
2025-01-30,604315.6612392324
2025-01-31,604315.6612392324
2025-02-03,604315.6612392324
2025-02-04,604315.6612392324
2025-02-05,604315.6612392324
2025-02-06,604315.6612392324
2025-02-07,604315.6612392324
2025-02-10,604315.6612392324
2025-02-11,604315.6612392324
2025-02-12,604315.6612392324
2025-02-13,604315.6612392324
2025-02-14,604315.6612392324
2025-02-18,604315.6612392324
2025-02-19,604315.6612392324
2025-02-20,604315.6612392324
2025-02-21,604315.6612392324
2025-02-24,604315.6612392324
2025-02-25,604315.6612392324
2025-02-26,604315.6612392324
2025-02-27,604315.6612392324
2025-02-28,604315.6612392324
2025-03-03,604315.6612392324
2025-03-04,604315.6612392324
2025-03-05,604315.6612392324
2025-03-06,604315.6612392324
2025-03-07,604315.6612392324
2025-03-10,604315.6612392324
2025-03-11,604315.6612392324
2025-03-12,604315.6612392324
2025-03-13,604315.6612392324
2025-03-14,604315.6612392324
2025-03-17,604315.6612392324
2025-03-18,604315.6612392324
2025-03-19,604315.6612392324
2025-03-20,604315.6612392324
2025-03-21,604315.6612392324
2025-03-24,604315.6612392324
2025-03-25,604315.6612392324
2025-03-26,604315.6612392324
2025-03-27,604315.6612392324
2025-03-28,604315.6612392324
2025-03-31,604315.6612392324
2025-04-01,604315.6612392324
2025-04-02,604315.6612392324
2025-04-03,604315.6612392324
2025-04-04,604315.6612392324
2025-04-07,604315.6612392324
2025-04-08,604315.6612392324
2025-04-09,604315.6612392324
2025-04-10,604315.6612392324
2025-04-11,604315.6612392324
2025-04-14,604315.6612392324
2025-04-15,604315.6612392324
2025-04-16,604315.6612392324
2025-04-17,604315.6612392324
2025-04-21,604315.6612392324
2025-04-22,604315.6612392324
2025-04-23,604315.6612392324
2025-04-24,604315.6612392324
2025-04-25,604315.6612392324
2025-04-28,604315.6612392324
2025-04-29,604315.6612392324
2025-04-30,604315.6612392324
2025-05-01,604315.6612392324
2025-05-02,604315.6612392324
2025-05-05,604315.6612392324
2025-05-06,604315.6612392324
2025-05-07,604315.6612392324
2025-05-08,604315.6612392324
2025-05-09,604315.6612392324
2025-05-12,604315.6612392324
2025-05-13,604315.6612392324
2025-05-14,604315.6612392324
2025-05-15,604315.6612392324
2025-05-16,604315.6612392324
2025-05-19,604315.6612392324
2025-05-20,604315.6612392324
2025-05-21,604315.6612392324
2025-05-22,604315.6612392324
2025-05-23,604315.6612392324
2025-05-27,604315.6612392324
2025-05-28,604315.6612392324
2025-05-29,604315.6612392324
2025-05-30,604315.6612392324
2025-06-02,604315.6612392324
2025-06-03,604315.6612392324
2025-06-04,604315.6612392324
2025-06-05,604315.6612392324
2025-06-06,604315.6612392324
2025-06-09,604315.6612392324
2025-06-10,604315.6612392324
2025-06-11,604315.6612392324
2025-06-12,604315.6612392324
2025-06-13,604315.6612392324
2025-06-16,604315.6612392324
2025-06-17,604315.6612392324
2025-06-18,604315.6612392324
2025-06-20,604315.6612392324
2025-06-23,604315.6612392324
2025-06-24,604315.6612392324
2025-06-25,604315.6612392324
2025-06-26,604315.6612392324
2025-06-27,604315.6612392324
2025-06-30,604315.6612392324
2025-07-01,604315.6612392324
2025-07-02,604315.6612392324
2025-07-03,604315.6612392324
2025-07-07,604315.6612392324
2025-07-08,604315.6612392324
2025-07-09,604315.6612392324
2025-07-10,604315.6612392324
2025-07-11,604315.6612392324
2025-07-14,604315.6612392324
2025-07-15,604315.6612392324
2025-07-16,604315.6612392324
2025-07-17,604315.6612392324
2025-07-18,604315.6612392324
2025-07-21,604315.6612392324
2025-07-22,604315.6612392324
2025-07-23,604315.6612392324
2025-07-24,604315.6612392324
2025-07-25,604315.6612392324
2025-07-28,604315.6612392324
2025-07-29,604315.6612392324
2025-07-30,604315.6612392324
2025-07-31,604315.6612392324
2025-08-01,604315.6612392324
2025-08-04,604315.6612392324
2025-08-05,604315.6612392324
2025-08-06,604315.6612392324
2025-08-07,604315.6612392324
2025-08-08,604315.6612392324
2025-08-11,604315.6612392324
2025-08-12,604315.6612392324
2025-08-13,604315.6612392324
2025-08-14,604315.6612392324
2025-08-15,604315.6612392324
2025-08-18,604315.6612392324
2025-08-19,604315.6612392324
2025-08-20,604315.6612392324
2025-08-21,604315.6612392324
2025-08-22,604315.6612392324
2025-08-25,604315.6612392324
2025-08-26,604315.6612392324
2025-08-27,604315.6612392324
2025-08-28,604315.6612392324
2025-08-29,604315.6612392324
2025-09-02,604315.6612392324
2025-09-03,604315.6612392324
2025-09-04,604315.6612392324
2025-09-05,604315.6612392324
2025-09-08,604315.6612392324
2025-09-09,604315.6612392324
2025-09-10,604315.6612392324
2025-09-11,604315.6612392324
2025-09-12,604315.6612392324
2025-09-15,604315.6612392324
2025-09-16,604315.6612392324
2025-09-17,604315.6612392324
2025-09-18,604315.6612392324
2025-09-19,604315.6612392324
2025-09-22,604315.6612392324
2025-09-23,604315.6612392324
2025-09-24,604315.6612392324
2025-09-25,604315.6612392324
2025-09-26,604315.6612392324
2025-09-29,604315.6612392324
2025-09-30,604315.6612392324
2025-10-01,604315.6612392324
2025-10-02,604315.6612392324
2025-10-03,604315.6612392324
2025-10-06,604315.6612392324
2025-10-07,604315.6612392324
2025-10-08,604315.6612392324
2025-10-09,604315.6612392324
2025-10-10,604315.6612392324
2025-10-13,604315.6612392324
2025-10-14,604315.6612392324
2025-10-15,604315.6612392324
2025-10-16,604315.6612392324
2025-10-17,604315.6612392324
2025-10-20,604315.6612392324
2025-10-21,604315.6612392324
2025-10-22,604315.6612392324
2025-10-23,604315.6612392324
2025-10-24,604315.6612392324
2025-10-27,604315.6612392324
2025-10-28,604315.6612392324
2025-10-29,604315.6612392324
2025-10-30,604315.6612392324
2025-10-31,604315.6612392324
2025-11-03,604315.6612392324
2025-11-04,604315.6612392324
2025-11-05,604315.6612392324
2025-11-06,604315.6612392324
2025-11-07,604315.6612392324
2025-11-10,604315.6612392324
2025-11-11,604315.6612392324
2025-11-12,604315.6612392324
2025-11-13,604315.6612392324
2025-11-14,604315.6612392324
2025-11-17,604315.6612392324
2025-11-18,604315.6612392324
2025-11-19,604315.6612392324
2025-11-20,604315.6612392324
2025-11-21,604315.6612392324
2025-11-24,604315.6612392324
2025-11-25,604315.6612392324
2025-11-26,604315.6612392324
2025-11-28,604315.6612392324
2025-12-01,604315.6612392324
2025-12-02,604315.6612392324
2025-12-03,604315.6612392324
2025-12-04,604315.6612392324
2025-12-05,604315.6612392324
2025-12-08,604315.6612392324
2025-12-09,604315.6612392324
2025-12-10,604315.6612392324
2025-12-11,604315.6612392324
2025-12-12,604315.6612392324
2025-12-15,604315.6612392324
2025-12-16,604315.6612392324
2025-12-17,604315.6612392324
2025-12-18,604315.6612392324
2025-12-19,604315.6612392324
2025-12-22,604315.6612392324
2025-12-23,604315.6612392324
2025-12-24,604315.6612392324
2025-12-26,604315.6612392324
2025-12-29,604315.6612392324
2025-12-30,604315.6612392324
2025-12-31,604315.6612392324
2026-01-02,604315.6612392324
2026-01-05,604315.6612392324
2026-01-06,604315.6612392324
2026-01-07,604315.6612392324
2026-01-08,604315.6612392324
2026-01-09,604315.6612392324
2026-01-12,604315.6612392324
2026-01-13,604315.6612392324
2026-01-14,604315.6612392324
2026-01-15,604315.6612392324
2026-01-16,604315.6612392324
2026-01-20,604315.6612392324
2026-01-21,604315.6612392324
2026-01-22,604315.6612392324
2026-01-23,604315.6612392324
2026-01-26,604315.6612392324
2026-01-27,604315.6612392324
2026-01-28,604315.6612392324
2026-01-29,604315.6612392324
2026-01-30,604315.6612392324
2026-02-02,604315.6612392324
2026-02-03,604315.6612392324
2026-02-04,604315.6612392324
2026-02-05,604315.6612392324
2026-02-06,604315.6612392324
2026-02-09,604315.6612392324
2026-02-10,604315.6612392324
2026-02-11,604315.6612392324
2026-02-12,604315.6612392324
2026-02-13,604315.6612392324
2026-02-17,604315.6612392324
2026-02-18,604315.6612392324
2026-02-19,604315.6612392324
2026-02-20,604315.6612392324
2026-02-23,604315.6612392324
2026-02-24,604315.6612392324
2026-02-25,604315.6612392324
2026-02-26,604315.6612392324
2026-02-27,604315.6612392324
2026-03-02,604315.6612392324
2026-03-03,604315.6612392324
2026-03-04,604315.6612392324
2026-03-05,604315.6612392324
2026-03-06,604315.6612392324
2026-03-09,604315.6612392324
2026-03-10,604315.6612392324
2026-03-11,604315.6612392324
2026-03-12,604315.6612392324
2026-03-13,604315.6612392324
2026-03-16,604315.6612392324
2026-03-17,604315.6612392324
2026-03-18,604315.6612392324
2026-03-19,604315.6612392324
2026-03-20,604315.6612392324
2026-03-23,604315.6612392324
2026-03-24,604315.6612392324
2026-03-25,604315.6612392324
2026-03-26,604315.6612392324
2026-03-27,604315.6612392324
2026-03-30,604315.6612392324
2026-03-31,604315.6612392324
2026-04-01,604315.6612392324
2026-04-02,604315.6612392324
2026-04-06,604315.6612392324
2026-04-07,604315.6612392324
2026-04-08,604315.6612392324
2026-04-09,604315.6612392324
2026-04-10,604315.6612392324
